"subj" "block" "trial" "stim" "target" "resp" "acc" "rt" "ITI" "difficulty" "task" "session"
46 "8" 1 "b" NA "n" 1 1052 1280 2 "adaptive" "001"
46 "8" 2 "G" NA "n" 1 635 875 2 "adaptive" "001"
46 "8" 3 "B" "b" "y" 1 652 1007 2 "adaptive" "001"
46 "8" 4 "G" "g" "y" 1 619 875 2 "adaptive" "001"
46 "8" 5 "V" "b" "n" 1 736 774 2 "adaptive" "001"
46 "8" 6 "b" "g" "n" 1 868 1212 2 "adaptive" "001"
46 "8" 7 "V" "v" "y" 1 602 1463 2 "adaptive" "001"
46 "8" 8 "b" "b" "y" 1 634 1138 2 "adaptive" "001"
46 "8" 9 "B" "v" "n" 1 752 1433 2 "adaptive" "001"
46 "8" 10 "t" "b" "n" 1 1303 1036 2 "adaptive" "001"
46 "8" 11 "g" "b" "n" 1 1086 890 2 "adaptive" "001"
46 "8" 12 "G" "t" "y" 0 986 1030 2 "adaptive" "001"
46 "8" 13 "V" "g" "y" 0 969 1274 2 "adaptive" "001"
46 "8" 14 "B" "g" "n" 1 936 1242 2 "adaptive" "001"
46 "8" 15 "v" "v" "n" 0 769 1002 2 "adaptive" "001"
46 "8" 16 "t" "b" "y" 0 1053 828 2 "adaptive" "001"
46 "8" 17 "b" "v" "y" 0 1369 869 2 "adaptive" "001"
46 "8" 18 "G" "t" "n" 1 1403 1459 2 "adaptive" "001"
46 "8" 19 "v" "b" "y" 0 902 616 2 "adaptive" "001"
46 "8" 20 "T" "g" "y" 0 1018 622 2 "adaptive" "001"
46 "9" 1 "g" NA "n" 1 936 1028 1 "adaptive" "001"
46 "9" 2 "G" "g" "y" 1 552 1280 1 "adaptive" "001"
46 "9" 3 "G" "g" "y" 1 619 733 1 "adaptive" "001"
46 "9" 4 "B" "g" "n" 1 602 502 1 "adaptive" "001"
46 "9" 5 "T" "b" "n" 1 569 1106 1 "adaptive" "001"
46 "9" 6 "v" "t" "n" 1 1436 1261 1 "adaptive" "001"
46 "9" 7 "B" "v" "n" 1 701 967 1 "adaptive" "001"
46 "9" 8 "T" "b" "n" 1 685 556 1 "adaptive" "001"
46 "9" 9 "v" "t" "n" 1 1069 1059 1 "adaptive" "001"
46 "9" 10 "T" "v" "y" 0 652 893 1 "adaptive" "001"
46 "9" 11 "G" "t" "n" 1 886 593 1 "adaptive" "001"
46 "9" 12 "v" "g" "n" 1 769 952 1 "adaptive" "001"
46 "9" 13 "b" "v" "n" 1 652 931 1 "adaptive" "001"
46 "9" 14 "t" "b" "n" 1 719 719 1 "adaptive" "001"
46 "9" 15 "V" "t" "n" 1 1169 1271 1 "adaptive" "001"
46 "9" 16 "G" "v" "n" 1 619 736 1 "adaptive" "001"
46 "9" 17 "v" "g" "n" 1 868 837 1 "adaptive" "001"
46 "9" 18 "G" "v" "n" 1 1102 1160 1 "adaptive" "001"
46 "9" 19 "V" "g" "y" 0 936 680 1 "adaptive" "001"
46 "9" 20 "b" "v" "n" 1 819 1399 1 "adaptive" "001"
46 "10" 1 "T" NA "n" 1 1386 699 2 "adaptive" "001"
46 "10" 2 "V" NA "n" 1 385 1297 2 "adaptive" "001"
46 "10" 3 "v" "t" "n" 1 1002 744 2 "adaptive" "001"
46 "10" 4 "B" "v" "n" 1 1353 1302 2 "adaptive" "001"
46 "10" 5 "B" "v" "n" 1 1036 899 2 "adaptive" "001"
46 "10" 6 "v" "b" "y" 0 368 1337 2 "adaptive" "001"
46 "10" 7 "b" "b" "n" 0 886 1180 2 "adaptive" "001"
46 "10" 8 "B" "v" "y" 0 535 1128 2 "adaptive" "001"
46 "10" 9 "V" "b" "y" 0 919 791 2 "adaptive" "001"
46 "10" 10 "B" "b" "n" 0 701 504 2 "adaptive" "001"
46 "10" 11 "g" "v" "y" 0 1036 972 2 "adaptive" "001"
46 "10" 12 "g" "b" "y" 0 818 647 2 "adaptive" "001"
46 "10" 13 "G" "g" "y" 1 852 1319 2 "adaptive" "001"
46 "10" 14 "v" "g" "n" 1 818 1269 2 "adaptive" "001"
46 "10" 15 "g" "g" "y" 1 918 1408 2 "adaptive" "001"
46 "10" 16 "g" "v" "n" 1 952 1251 2 "adaptive" "001"
46 "10" 17 "G" "g" "y" 1 952 1105 2 "adaptive" "001"
46 "10" 18 "T" "g" "n" 1 936 1298 2 "adaptive" "001"
46 "10" 19 "T" "g" "y" 0 969 911 2 "adaptive" "001"
46 "10" 20 "B" "t" "n" 1 636 866 2 "adaptive" "001"
46 "11" 1 "v" NA "n" 1 1169 1315 2 "two" "001"
46 "11" 2 "v" NA "n" 1 902 1485 2 "two" "001"
46 "11" 3 "T" "v" "n" 1 1103 995 2 "two" "001"
46 "11" 4 "V" "v" "y" 1 534 647 2 "two" "001"
46 "11" 5 "G" "t" "n" 1 902 1478 2 "two" "001"
46 "11" 6 "G" "v" "n" 1 901 1331 2 "two" "001"
46 "11" 7 "t" "g" "y" 0 886 567 2 "two" "001"
46 "11" 8 "V" "g" "n" 1 969 807 2 "two" "001"
46 "11" 9 "B" "t" "n" 1 786 1031 2 "two" "001"
46 "11" 10 "V" "v" "y" 1 535 1183 2 "two" "001"
46 "11" 11 "v" "b" "y" 0 702 736 2 "two" "001"
46 "11" 12 "v" "v" "y" 1 936 963 2 "two" "001"
46 "11" 13 "v" "v" "y" 1 769 1365 2 "two" "001"
46 "11" 14 "t" "v" "n" 1 534 511 2 "two" "001"
46 "11" 15 "B" "v" "n" 1 1470 1082 2 "two" "001"
46 "11" 16 "G" "t" "y" 0 719 1456 2 "two" "001"
46 "11" 17 "G" "b" "y" 0 1086 792 2 "two" "001"
46 "11" 18 "g" "g" "y" 1 452 734 2 "two" "001"
46 "11" 19 "V" "g" "n" 1 1103 1204 2 "two" "001"
46 "11" 20 "G" "g" "n" 0 835 905 2 "two" "001"
46 "12" 1 "G" NA "n" 1 1336 1377 2 "two" "001"
46 "12" 2 "G" NA "n" 1 352 706 2 "two" "001"
46 "12" 3 "V" "g" "n" 1 1003 1329 2 "two" "001"
46 "12" 4 "t" "g" "n" 1 502 912 2 "two" "001"
46 "12" 5 "v" "v" "y" 1 1270 1437 2 "two" "001"
46 "12" 6 "b" "t" "n" 1 569 1048 2 "two" "001"
46 "12" 7 "g" "v" "n" 1 685 675 2 "two" "001"
46 "12" 8 "v" "b" "n" 1 1036 1052 2 "two" "001"
46 "12" 9 "g" "g" "y" 1 468 662 2 "two" "001"
46 "12" 10 "G" "v" "y" 0 1152 555 2 "two" "001"
46 "12" 11 "g" "g" "y" 1 1002 762 2 "two" "001"
46 "12" 12 "V" "g" "n" 1 1236 511 2 "two" "001"
46 "12" 13 "g" "g" "n" 0 1185 946 2 "two" "001"
46 "12" 14 "v" "v" "y" 1 802 678 2 "two" "001"
46 "12" 15 "T" "g" "n" 1 902 732 2 "two" "001"
46 "12" 16 "b" "v" "y" 0 785 819 2 "two" "001"
46 "12" 17 "g" "t" "n" 1 1270 882 2 "two" "001"
46 "12" 18 "T" "b" "n" 1 802 656 2 "two" "001"
46 "12" 19 "v" "g" "n" 1 1352 580 2 "two" "001"
46 "12" 20 "T" "t" "n" 0 1169 1413 2 "two" "001"
46 "13" 1 "T" NA "n" 1 635 542 2 "two" "001"
46 "13" 2 "G" NA "n" 1 335 988 2 "two" "001"
46 "13" 3 "t" "t" "y" 1 368 1071 2 "two" "001"
46 "13" 4 "t" "g" "n" 1 685 847 2 "two" "001"
46 "13" 5 "G" "t" "n" 1 1119 560 2 "two" "001"
46 "13" 6 "g" "t" "y" 0 1569 742 2 "two" "001"
46 "13" 7 "G" "g" "y" 1 1103 1345 2 "two" "001"
46 "13" 8 "v" "g" "n" 1 685 1008 2 "two" "001"
46 "13" 9 "g" "g" "y" 1 1119 1339 2 "two" "001"
46 "13" 10 "v" "v" "n" 0 1103 919 2 "two" "001"
46 "13" 11 "G" "g" "n" 0 1519 1277 2 "two" "001"
46 "13" 12 "T" "v" "n" 1 1003 1199 2 "two" "001"
46 "13" 13 "b" "g" "y" 0 652 780 2 "two" "001"
46 "13" 14 "G" "t" "y" 0 919 1250 2 "two" "001"
46 "13" 15 "b" "b" "y" 1 352 1064 2 "two" "001"
46 "13" 16 "g" "g" "y" 1 818 749 2 "two" "001"
46 "13" 17 "G" "b" "y" 0 884 697 2 "two" "001"
46 "13" 18 "B" "g" "n" 1 1019 1052 2 "two" "001"
46 "13" 19 "b" "g" "n" 1 1035 787 2 "two" "001"
46 "13" 20 "b" "b" "y" 1 418 1214 2 "two" "001"
46 "14" 1 "t" NA "n" 1 1019 751 1 "two" "001"
46 "14" 2 "g" "t" "n" 1 918 1465 1 "two" "001"
46 "14" 3 "G" "g" "y" 1 519 1053 1 "two" "001"
46 "14" 4 "b" "g" "n" 1 735 1021 1 "two" "001"
46 "14" 5 "t" "b" "n" 1 986 634 1 "two" "001"
